num_sub = 0
num_col = 0
num_theta = 0
num_phi = 0
data_dir = 
data_dir = /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/
status_dir = [](0x0)
cmd = grep -n "0 0" /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/0.ap | cut -f1 -d:
data dir=, num_sub = 34566, num_col= 34616
data dir=, num_sub = 34646, num_col= 34717
data dir=, num_sub = 34767, num_col= 34777
data dir=, num_sub = 34917, num_col= 34927
data dir=, num_sub = 34987, num_col= 34997
data dir=, num_sub = 35078, num_col= 35118
data dir=, num_sub = 35138, num_col= 35238
data dir=, num_sub = 35288, num_col= 35338
data dir=, num_sub = 35358, num_col= 35368
data dir=, num_sub = 35479, num_col= 35489
data dir=, num_sub = 35589, num_col= 35599
data dir=, num_sub = 35639, num_col= 35649
data dir=, num_sub = 35709, num_col= 35719
data dir=, num_sub = 35800, num_col= 35840
data dir=, num_sub = 35860, num_col= 35950
data dir=, num_sub = 35970, num_col= 36000
data dir=, num_sub = 36050, num_col= 36060
data dir=, num_sub = 36080, num_col= 36090
data dir=, num_sub = 36161, num_col= 36201
data dir=, num_sub = 36221, num_col= 36231
data dir=, num_sub = 36321, num_col= 36331
data dir=, num_sub = 36371, num_col= 36411
data dir=, num_sub = 36431, num_col= 36441
data dir=, num_sub = 36522, num_col= 36562
data dir=, num_sub = 36582, num_col= 36592
data dir=, num_sub = 36682, num_col= 36692
data dir=, num_sub = 36732, num_col= 36772
data dir=, num_sub = 36792, num_col= 36802
data dir=, num_sub = 36873, num_col= 36883
data dir=, num_sub = 36933, num_col= 36943
data dir=, num_sub = 37033, num_col= 37043
data dir=, num_sub = 37083, num_col= 37093
data dir=, num_sub = 37143, num_col= 37153
data dir=, num_sub = 37173, num_col= 37234
data dir=, num_sub = 37294, num_col= 37304
data dir=, num_sub = 37394, num_col= 37404
data dir=, num_sub = 37454, num_col= 37494
data dir=, num_sub = 37514, num_col= 37524
data dir=, num_sub = 37595, num_col= 37605
data dir=, num_sub = 37665, num_col= 37675
data dir=, num_sub = 37765, num_col= 37805
data dir=, num_sub = 37855, num_col= 37865
data dir=, num_sub = 37885, num_col= 37895
data dir=, num_sub = 37966, num_col= 38016
data dir=, num_sub = 38036, num_col= 38056
data dir=, num_sub = 38116, num_col= 38126
data dir=, num_sub = 38176, num_col= 38216
data dir=, num_sub = 38236, num_col= 38246
data dir=, num_sub = 38317, num_col= 38327
data dir=, num_sub = 38387, num_col= 38397
data dir=, num_sub = 38417, num_col= 38427
data dir=, num_sub = 38487, num_col= 38517
data dir=, num_sub = 38537, num_col= 38577
data dir=, num_sub = 38597, num_col= 38607
data dir=, num_sub = 38678, num_col= 38688
data dir=, num_sub = 38748, num_col= 38758
data dir=, num_sub = 38778, num_col= 38788
data dir=, num_sub = 38848, num_col= 38878
data dir=, num_sub = 38898, num_col= 38938
data dir=, num_sub = 38958, num_col= 38968
data dir=, num_sub = 39039, num_col= 39049
data dir=, num_sub = 39109, num_col= 39119
data dir=, num_sub = 39139, num_col= 39149
data dir=, num_sub = 39209, num_col= 39239
data dir=, num_sub = 39259, num_col= 39299
data dir=, num_sub = 39319, num_col= 39329
data dir=, num_sub = 39400, num_col= 39410
data dir=, num_sub = 39470, num_col= 39480
data dir=, num_sub = 39500, num_col= 39510
data dir=, num_sub = 39570, num_col= 39600
data dir=, num_sub = 39620, num_col= 39660
data dir=, num_sub = 39680, num_col= 39690
data dir=, num_sub = 39711, num_col= 39761
data dir=, num_sub = 39821, num_col= 39831
data dir=, num_sub = 39851, num_col= 39861
data dir=, num_sub = 39921, num_col= 39931
data dir=, num_sub = 39971, num_col= 39981
data dir=, num_sub = 40031, num_col= 40041
data dir=, num_sub = 40061, num_col= 40122
data dir=, num_sub = 40142, num_col= 40182
data dir=, num_sub = 40202, num_col= 40212
data dir=, num_sub = 40232, num_col= 40282
data dir=, num_sub = 40322, num_col= 40332
data dir=, num_sub = 40382, num_col= 40392
data dir=, num_sub = 40412, num_col= 40422
data dir=, num_sub = 40493, num_col= 40503
data dir=, num_sub = 40553, num_col= 40563
data dir=, num_sub = 40583, num_col= 40593
data dir=, num_sub = 40653, num_col= 40683
data dir=, num_sub = 40703, num_col= 40743
data dir=, num_sub = 40763, num_col= 40773
data dir=, num_sub = 40844, num_col= 40854
data dir=, num_sub = 40904, num_col= 40914
data dir=, num_sub = 40934, num_col= 40944
data dir=, num_sub = 41004, num_col= 41014
data dir=, num_sub = 41054, num_col= 41064
data dir=, num_sub = 41114, num_col= 41124
data dir=, num_sub = 41144, num_col= 41205
data dir=, num_sub = 41225, num_col= 41265
data dir=, num_sub = 41285, num_col= 41295
data dir=, num_sub = 41315, num_col= 41325
data dir=, num_sub = 41365, num_col= 41375
